"id","submitdate","lastpage","startlanguage","seed","wiek","plec","G99Q99","G00Q00","G00Q01","G01Q00","G01Q01","G02Q00","G02Q01","G03Q00","G03Q01","G04Q00","G04Q01","G05Q00","G05Q01","G06Q00","G06Q01","G07Q00","G07Q01","G08Q00","G08Q01","G09Q00","G09Q01","G10Q00","G10Q01","G11Q00","G11Q01","G13Q00","G13Q01","G14Q00","G14Q01","G15Q00","G15Q01","G17Q00","G17Q01","G19Q00","G19Q01","G22Q00","G22Q01","G25Q00","G25Q01","G28Q00","G28Q01","G32Q00","G32Q01","G37Q00","G37Q01","G42Q00","G42Q01","G49Q00","G49Q01","G57Q00","G57Q01","G66Q00","G66Q01","G77Q00","G77Q01","G89Q00","G89Q01","G103Q00","G103Q01","G118Q00","G118Q01","G134Q00","G134Q01","G152Q00","G152Q01","G170Q00","G170Q01","G191Q00","G191Q01","G210Q00","G210Q01","interviewtime","groupTime32002","wiekTime","plecTime","groupTime32001","G99Q99Time","groupTime31920","G00Q00Time","G00Q01Time","groupTime31921","G01Q00Time","G01Q01Time","groupTime31922","G02Q00Time","G02Q01Time","groupTime31923","G03Q00Time","G03Q01Time","groupTime31924","G04Q00Time","G04Q01Time","groupTime31925","G05Q00Time","G05Q01Time","groupTime31926","G06Q00Time","G06Q01Time","groupTime31927","G07Q00Time","G07Q01Time","groupTime31928","G08Q00Time","G08Q01Time","groupTime31929","G09Q00Time","G09Q01Time","groupTime31930","G10Q00Time","G10Q01Time","groupTime31931","G11Q00Time","G11Q01Time","groupTime31934","G13Q00Time","G13Q01Time","groupTime31936","G14Q00Time","G14Q01Time","groupTime31937","G15Q00Time","G15Q01Time","groupTime31938","G17Q00Time","G17Q01Time","groupTime31939","G19Q00Time","G19Q01Time","groupTime31940","G22Q00Time","G22Q01Time","groupTime31941","G25Q00Time","G25Q01Time","groupTime31942","G28Q00Time","G28Q01Time","groupTime31943","G32Q00Time","G32Q01Time","groupTime31944","G37Q00Time","G37Q01Time","groupTime31945","G42Q00Time","G42Q01Time","groupTime31946","G49Q00Time","G49Q01Time","groupTime31949","G57Q00Time","G57Q01Time","groupTime31948","G66Q00Time","G66Q01Time","groupTime31950","G77Q00Time","G77Q01Time","groupTime31951","G89Q00Time","G89Q01Time","groupTime31952","G103Q00Time","G103Q01Time","groupTime31953","G118Q00Time","G118Q01Time","groupTime31954","G134Q00Time","G134Q01Time","groupTime31955","G152Q00Time","G152Q01Time","groupTime31956","G170Q00Time","G170Q01Time","groupTime31957","G191Q00Time","G191Q01Time","groupTime31958","G210Q00Time","G210Q01Time"
"21","","1","pl","2070715207","20","mężczyzna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.34","11.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","3","pl","1845545254","20","mężczyzna","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","99.34","16.78","","","14.78","","25.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9","","","","",""
"23","","1","pl","156780766","19","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.83","9.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","1980-01-01 00:00:00","37","pl","161529882","41","kobieta","Zapoznałam/em się z instrukcją i używam komputera.","1","8","2","6","4","8","5","7","5","7","6","6","8","7","10","7","10","7","9","7","13","6","10","4","12","6","15","4","16","6","26","5","18","3","24","4","34","6","20","6","48","4","43","4","40","4","55","4","80","4","48","7","56","5","98","4","100","5","67","3","74","2","78","2","110","5","120","5","98","4","618.78","16.74","","","64.1","","20.64","","","14.7","","","9.7","","","10.21","","","11.35","","","13.43","","","11.27","","","12.23","","","12.74","","","10.68","","","14.31","","","12.01","","","15.66","","","15.66","","","13.92","","","12.88","","","13.48","","","17.25","","","12.7","","","15.02","","","13.71","","","17.74","","","20.69","","","16.35","","","15.2","","","21.57","","","13.83","","","21.23","","","17.8","","","24.94","","","14.53","","","20.79","","","10.79","","","11.43","","","27.5","",""
"25","","1","pl","1582668835","20","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.59","8.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","1","pl","1884983998","20","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.87","14.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","1","pl","398429001","20","mężczyzna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.38","9.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","1","pl","1322254211","36","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.65","15.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","2","pl","1019498123","36","kobieta","Zapoznałam/em się z instrukcją i używam telefonu z ""Wersją na Komputer"".","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.87","9.81","","","10.65","","12.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","1","pl","1028294370","22","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.32","9.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","","1","pl","2095117220","20","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","1","pl","1627145820","20","kobieta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.22","12.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","1","pl","1380259606","19","inne / nie chcę podawać","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.01","8.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
